Yr,sel(B):_1,sel(B):_2,sel(B):_3,sel(B):_4,sel(B):_5,sel(B):_6,sel(B):_7,sel(B):_8,sel(B):_9,sel(B):_10,sel(B):_11,sel(B):_12,sel(B):_13,sel(B):_14,sel(B):_15,sel(B):_16,sel(B):_17,sel(B):_18,sel(B):_19,sel(B):_20,sel(B):_21,sel(B):_22,sel(B):_23,sel(B):_24,sel(B):_25
1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1976,0,0,0,3787.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,0,336.626,168.734,412.207,0,301.856,2.5247,26.5329,3.92995,76.9514,6.74317,271,0,0,547,0,0,17,524,219,45,66.5362,74.9965,1432.880272,1279.8182000000002
1978,0,275.731,136.423,612.555,0,461.215,3.29723,50.4294,6.23297,153.21,6.33428,270,0,0,546,0,0,0,618,78,60,30.8252,93.1665,1480.5446000000002,2756.9987
1979,0,472.283,478.348,1466.03,0,540.972,14.5567,45.5484,12.1382,112.912,10.4405,387,0,0,526,0,0,26,432,122,80,47.8247,182.712,1294.5916,1643.443
1980,0,582.613,872.092,1019.98,0,521.239,23.9541,31.2102,4.96035,15.8914,6.35658,612,0,0,536,0,0,61,223,131.52,30,42.5486,196.43,1528.482,3661.6409999999996
1981,0,420.191,443.513,664.569,0,465.297,6.95545,21.715,13.6144,5.07455,3.9035,271,0,0,542,0,0,16,491,95,108,65.8542,112.157,1551.948,3377.3332
1982,0,339.473,423.339,548.187,0,212.002,6.01903,21.2202,3.86616,7.00191,3.50095,283,0,0,656,0,0,7,397,138,117,39.1131,104.386,665.457,958.822
1983,0,225.311,186.776,479.772,0,339.584,9.8303,10.738,5.9915,3.43786,2.67389,330,0,0,849,0,0,0,555,214,64,41.0081,86.0885,611.213,1234.815
1984,0,350,170.227,601.334,0,705.251,6.36363,9.66351,8.79313,5.88691,6.67183,395,0,0,795,0,0,0,965,330,83,72.4001,179.119,970.046,1325.032
1985,0,379.656,340.537,1613.65,0,414.49,9.4708,32.0169,3.98061,9.17544,6.78185,735,0,0,773,0,0,0,513,181,69,80.5541,516.152,1244.527,2514.423
1986,0,717.338,663.841,2119.54,0,613.773,19.8585,19.8707,2.84676,17.9734,4.97137,934,0,0,625,0,0,0,179,148,74,62.3659,307.133,1247.594,2375.2486
1987,0,337.938,306.539,1099.98,0,612.745,6.67242,24.941,7.96702,42.3113,4.23113,1193,0,0,545,276.68,31,31,383,151,148,63.6156,218.296,506.97499999999997,2124.852
1988,0,371.578,1058.72,1860.22,0,915.153,5.52239,13.7064,4.4377,79.229,1.531,759,0,0,722,482.57,55,7,457,169,127,119.512,439.966,873.963,2389.959
1989,0,311.736,578.252,1297.63,0,472.05,5.60244,14.1047,3.26631,65.2458,3.93047,1094,0,0,639,586.84,24,6,184,157,109,66.3922,282.209,756.55,1745.54
1990,0,192.893,386.594,754.591,0,295.234,1.61755,7.54591,7.73379,22.9497,5.44569,1128,0,0,564,483.69,27,2,137,256,43,69.8753,198.823,1293.783,946.777
1991,0,270.185,557.008,1039.11,0,473.841,4.75398,9.08088,15.8592,11.1266,1.91839,1200,0,0,534,549.86,40,36,254,286,24,31.6902,243.597,999.862,713.439
1992,0,175.179,458.066,1070.43,0,353.67,8.5354,17.6668,24.5209,64.5237,5.64582,1257,0,0,338,545.42,39,1,219,197,70,36.5958,289.884,764.5849999999999,806.02
1993,0,317.069,694.002,1304.4,0,758.966,3.3028,11.3033,4.80519,73.686,5.04167,1724,0,0,708,532.52,69,5,221,142,194,46.9006,316.502,622.198,647.1428000000001
1994,106.84,289.925,496.777,1325.2,350.055,881.877,11.6302,16.8042,17.9162,43.1487,7.80786,367.72,560.88,882.12,383,363.28999999999996,34,1,137,196,339,0,0,0,0
1995,122.676,307.512,386.963,1137.94,711.336,1390.04,4.93995,12.9616,8.76261,146.539,4.16519,258.08,377.03,592.9699999999999,283,738.24,52,27,83,82,320,0,0,0,0
1996,117.633,236.337,327.747,1287.69,254.541,670.618,8.59407,14.8841,26.0579,17.5975,10.329,694.96,273.25,429.75,152,515.06,55,26,162,47,183,0,0,0,0
1997,124.637,238.492,321.548,973.385,281.316,643.401,5.93263,15.0679,10.2413,6.54176,2.69367,245.16,316,497,163,468.01,39,59,290,47,150,0,0,0,0
1998,105.183,227.514,181.47,1321.92,603.187,756.914,6.19087,19.446,12.3604,18.2344,10.7918,312.32,424.45000000000005,667.5500000000001,304,498.98,26,90,205,50,260,0,0,0,0
1999,140.787,220.323,294.918,872.021,273.824,553.743,9.99722,14.1386,7.61503,22.4542,6.08927,554.76,437.67,688.3399999999999,184,451.08000000000004,29,66,128,42,306,0,0,0,0
2000,45.4268,187.115,236.356,387.062,281.457,476.261,4.33319,11.5861,4.18164,22.3307,3.85013,343.16,412.78999999999996,649.21,297,233.14,15,90,161,55,170,0,0,0,0
2001,50.4151,204.792,226.45,406.95,469.612,556.248,3.41954,10.9548,7.36164,13.3233,5.18129,355.68,418.62,658.38,237,415.45,44,21,129,51,155,0,0,0,0
