Fleet Group,Catch Index,Fleet Name
G1,F1,JPNLL_Q1A1_Late
G2,F2,JPNLL_Q1A2
G2,F3,JPNLL_Q1A3
G3,F4,JPNLL_Q2A1
G4,F5,JPNLL_Q3A1_Late
G5,F6,JPNLL_Q4A1
G2,F7,JPNLL_Q1A4
G3,F8,JPNLL_Q2A2
G4,F9,JPNLL_Q3A2
G5,F10,JPNLL_Q4A2
G5,F11,JPNLL_Q4A3
G3,F12,JPNLL_Others
G6,F13,JPNDF_Q14_EarlyLate
G7,F14,JPNDF_Q23_EarlyLate
G3,F15,JPN_Others
G8,F16,US_LL
G8,F17,US_Others
G9,F18,TWN_DWLL
G9,F19,TWN_STLL
G7,F20,TWN_Others
G3,F21,WCPFC_Others
G1,F22,JPNLL_Q1A1_Early
G4,F23,JPNLL_Q3A1_Early
G1,F24,JPNDF_Q14_Mid
G4,F25,JPNDF_Q23_Mid
