"YY","GEAR_CODE","FLAG_CODE","FLEET_CODE","SP_CODE","SP_NAME","SP_MT"
"2023","G","JP",,"ALB","ALBACORE","31"
"2023","G","JP",,"MLS","STRIPED MARLIN","138"
"2023","G","JP",,"SWO","SWORDFISH","459"
"1972","G","JP",,"ALB","ALBACORE","1"
"1972","G","JP",,"PBF","PACIFIC BLUEFIN TUNA","3"
"1972","G","JP",,"MLS","STRIPED MARLIN","243"
"1972","G","JP",,"SWO","SWORDFISH","55"
"1973","G","JP",,"ALB","ALBACORE","39"
"1973","G","JP",,"PBF","PACIFIC BLUEFIN TUNA","115"
"1973","G","JP",,"MLS","STRIPED MARLIN","3265"
"1973","G","JP",,"SWO","SWORDFISH","720"
"1974","G","JP",,"ALB","ALBACORE","224"
"1974","G","JP",,"PBF","PACIFIC BLUEFIN TUNA","70"
"1974","G","JP",,"MLS","STRIPED MARLIN","3112"
"1974","G","JP",,"SWO","SWORDFISH","1304"
"1975","G","JP",,"ALB","ALBACORE","166"
"1975","G","JP",,"PBF","PACIFIC BLUEFIN TUNA","68"
"1975","G","JP",,"MLS","STRIPED MARLIN","6534"
"1975","G","JP",,"SWO","SWORDFISH","2672"
"1976","G","JP",,"ALB","ALBACORE","1070"
"1976","G","JP",,"PBF","PACIFIC BLUEFIN TUNA","352"
"1976","G","JP",,"MLS","STRIPED MARLIN","3561"
"1976","G","JP",,"SWO","SWORDFISH","3488"
"1977","G","JP",,"ALB","ALBACORE","688"
"1977","G","JP",,"PBF","PACIFIC BLUEFIN TUNA","402"
"1977","G","JP",,"MLS","STRIPED MARLIN","4424"
"1977","G","JP",,"SWO","SWORDFISH","2344"
"1978","G","JP",,"ALB","ALBACORE","4029"
"1978","G","JP",,"PBF","PACIFIC BLUEFIN TUNA","1344"
"1978","G","JP",,"MLS","STRIPED MARLIN","5593"
"1978","G","JP",,"SWO","SWORDFISH","2475"
"1979","G","JP",,"ALB","ALBACORE","2856"
"1979","G","JP",,"PBF","PACIFIC BLUEFIN TUNA","756"
"1979","G","JP",,"MLS","STRIPED MARLIN","2532"
"1979","G","JP",,"SWO","SWORDFISH","983"
"1980","G","JP",,"ALB","ALBACORE","2986"
"1980","G","JP",,"PBF","PACIFIC BLUEFIN TUNA","909"
