"YY","GEAR_CODE","FLAG_CODE","FLEET_CODE","SP_CODE","SP_NAME","SP_MT"
"1983","G","JP",,"ALB","ALBACORE","6884"
"1983","G","JP",,"BET","BIGEYE TUNA","87"
"1983","G","JP",,"SKJ","SKIPJACK TUNA","4427"
"1983","G","JP",,"YFT","YELLOWFIN TUNA","43"
"1983","G","JP",,"PBF","PACIFIC BLUEFIN TUNA","807"
"1983","G","JP",,"MLS","STRIPED MARLIN","1867"
"1983","G","JP",,"SWO","SWORDFISH","1033"
"1984","G","JP",,"ALB","ALBACORE","10569"
"1984","G","JP",,"BET","BIGEYE TUNA","84"
"1984","G","JP",,"SKJ","SKIPJACK TUNA","5823"
"1984","G","JP",,"YFT","YELLOWFIN TUNA","105"
"1984","G","JP",,"PBF","PACIFIC BLUEFIN TUNA","532"
"1984","G","JP",,"MLS","STRIPED MARLIN","2333"
"1984","G","JP",,"SWO","SWORDFISH","1053"
"1985","G","JP",,"ALB","ALBACORE","13132"
"1985","G","JP",,"BET","BIGEYE TUNA","117"
"1985","G","JP",,"SKJ","SKIPJACK TUNA","2366"
"1985","G","JP",,"YFT","YELLOWFIN TUNA","51"
"1985","G","JP",,"PBF","PACIFIC BLUEFIN TUNA","728"
"1985","G","JP",,"MLS","STRIPED MARLIN","2363"
"1985","G","JP",,"SWO","SWORDFISH","1133"
"1986","G","JP",,"ALB","ALBACORE","9749"
"1986","G","JP",,"BET","BIGEYE TUNA","150"
"1986","G","JP",,"SKJ","SKIPJACK TUNA","6611"
"1986","G","JP",,"YFT","YELLOWFIN TUNA","55"
"1986","G","JP",,"PBF","PACIFIC BLUEFIN TUNA","316"
"1986","G","JP",,"MLS","STRIPED MARLIN","3584"
"1986","G","JP",,"SWO","SWORDFISH","1264"
"1987","G","JP",,"ALB","ALBACORE","7617"
"1987","G","JP",,"BET","BIGEYE TUNA","83"
"1987","G","JP",,"SKJ","SKIPJACK TUNA","6430"
"1987","G","JP",,"YFT","YELLOWFIN TUNA","43"
"1987","G","JP",,"PBF","PACIFIC BLUEFIN TUNA","258"
"1987","G","JP",,"MLS","STRIPED MARLIN","1888"
"1987","G","JP",,"SWO","SWORDFISH","1051"
"1988","G","JP",,"ALB","ALBACORE","13345"
"1988","G","JP",,"BET","BIGEYE TUNA","89"
"1988","G","JP",,"SKJ","SKIPJACK TUNA","9742"
"1988","G","JP",,"YFT","YELLOWFIN TUNA","84"
"1988","G","JP",,"PBF","PACIFIC BLUEFIN TUNA","371"
"1988","G","JP",,"MLS","STRIPED MARLIN","2211"
