"YY","GEAR_CODE","FLAG_CODE","FLEET_CODE","SP_CODE","SP_NAME","SP_MT"
"2023","T","US",,"ALB","ALBACORE","328"
"1983","G","JP",,"ALB","ALBACORE","32"
"1984","G","JP",,"ALB","ALBACORE","1581"
"1985","G","JP",,"ALB","ALBACORE","1928"
"1986","G","JP",,"ALB","ALBACORE","1936"
"1987","G","JP",,"ALB","ALBACORE","919"
"1988","G","JP",,"ALB","ALBACORE","4271"
"1989","G","JP",,"ALB","ALBACORE","13263"
"1990","G","JP",,"ALB","ALBACORE","5567"
"1989","G","KR",,"ALB","ALBACORE","172"
"1988","G","TW",,"ALB","ALBACORE","1000"
"1989","G","TW",,"ALB","ALBACORE","8520"
"1990","G","TW",,"ALB","ALBACORE","1859"
"1991","G","TW",,"ALB","ALBACORE","1394"
"1988","T","CA",,"ALB","ALBACORE","235"
"1989","T","CA",,"ALB","ALBACORE","235"
"1990","T","CA",,"ALB","ALBACORE","235"
"1991","T","CA",,"ALB","ALBACORE","235"
"1992","T","CA",,"ALB","ALBACORE","235"
"1993","T","CA",,"ALB","ALBACORE","235"
"1994","T","CA",,"ALB","ALBACORE","235"
"1995","T","CA",,"ALB","ALBACORE","235"
"1996","T","CA",,"ALB","ALBACORE","136"
"1997","T","CA",,"ALB","ALBACORE","149"
"1998","T","CA",,"ALB","ALBACORE","167"
"1999","T","CA",,"ALB","ALBACORE","253"
"2000","T","CA",,"ALB","ALBACORE","351"
"2001","T","CA",,"ALB","ALBACORE","206"
"2002","T","CA",,"ALB","ALBACORE","144"
"2004","T","CA",,"ALB","ALBACORE","63"
"2005","T","CA",,"ALB","ALBACORE","72"
"2006","T","CA",,"ALB","ALBACORE","135"
"2007","T","CA",,"ALB","ALBACORE","27"
"1986","T","US",,"ALB","ALBACORE","92"
"1987","T","US",,"ALB","ALBACORE","878"
"1988","T","US",,"ALB","ALBACORE","3656"
"1989","T","US",,"ALB","ALBACORE","3672"
"1990","T","US",,"ALB","ALBACORE","3886"
"1991","T","US",,"ALB","ALBACORE","4894"
"1992","T","US",,"ALB","ALBACORE","2956"
"1993","T","US",,"ALB","ALBACORE","1010"
"1994","T","US",,"ALB","ALBACORE","2270"
"1995","T","US",,"ALB","ALBACORE","1951"
"1996","T","US",,"ALB","ALBACORE","1947"
"1997","T","US",,"ALB","ALBACORE","1739"
"1998","T","US",,"ALB","ALBACORE","1618"
"1999","T","US",,"ALB","ALBACORE","1339"
"2000","T","US",,"ALB","ALBACORE","2433"
"2001","T","US",,"ALB","ALBACORE","2107"
"2002","T","US",,"ALB","ALBACORE","1337"
"2003","T","US",,"ALB","ALBACORE","1574"
"2004","T","US",,"ALB","ALBACORE","960"
"2005","T","US",,"ALB","ALBACORE","487"
"2006","T","US",,"ALB","ALBACORE","585"
"2007","T","US",,"ALB","ALBACORE","198"
"2008","T","US",,"ALB","ALBACORE","150"
"2009","T","US",,"ALB","ALBACORE","237"
"2010","T","US",,"ALB","ALBACORE","307"
"2011","T","US",,"ALB","ALBACORE","402"
"2012","T","US",,"ALB","ALBACORE","235"
