"YY","GEAR_CODE","FLAG_CODE","FLEET_CODE","SP_CODE","SP_NAME","SP_MT"
"2023","H","ID",,"ALB","ALBACORE","450"
"2023","H","ID",,"BET","BIGEYE TUNA","850"
"2023","H","ID",,"YFT","YELLOWFIN TUNA","22150"
"2023","H","ID",,"BUM","BLUE MARLIN","6"
"2023","H","ID",,"BLM","BLACK MARLIN","5509"
"2023","H","ID",,"MLS","STRIPED MARLIN","207"
"2023","H","ID",,"SWO","SWORDFISH","29"
"2023","H","ID",,"SFA","INDO-PACIFIC SAILFISH","5032"
"2023","H","PH",,"ALB","ALBACORE","1299"
"2023","H","PH",,"BET","BIGEYE TUNA","759"
"2023","H","PH",,"SKJ","SKIPJACK TUNA","1625"
"2023","H","PH",,"YFT","YELLOWFIN TUNA","18354"
"2023","H","PH",,"BUM","BLUE MARLIN","875"
"2023","H","PH",,"BLM","BLACK MARLIN","250"
"2023","H","PH",,"SWO","SWORDFISH","16"
"2023","O","ID",,"BET","BIGEYE TUNA","10540"
"2023","O","ID",,"SKJ","SKIPJACK TUNA","48111"
"2023","O","ID",,"YFT","YELLOWFIN TUNA","50213"
"2023","O","ID",,"BLM","BLACK MARLIN","1410"
"2023","O","ID",,"MLS","STRIPED MARLIN","79"
"2023","O","ID",,"SWO","SWORDFISH","30"
"2023","O","ID",,"SFA","INDO-PACIFIC SAILFISH","973"
"2023","O","ID",,"OCS","OCEANIC WHITETIP SHARK","2"
"2023","O","ID",,"THR","THRESHER SHARKS NEI","9"
"2023","O","PH",,"ALB","ALBACORE","107"
"2023","O","PH",,"BET","BIGEYE TUNA","131"
"2023","O","PH",,"SKJ","SKIPJACK TUNA","4169"
"2023","O","PH",,"YFT","YELLOWFIN TUNA","2192"
"2023","O","WF",,"SKJ","SKIPJACK TUNA","2"
"2023","O","WF",,"YFT","YELLOWFIN TUNA","2"
"2023","O","WF",,"MLS","STRIPED MARLIN","1"
"2023","O","JP",,"ALB","ALBACORE","243"
"2023","O","JP",,"BET","BIGEYE TUNA","84"
"2023","O","JP",,"SKJ","SKIPJACK TUNA","728"
"2023","O","JP",,"YFT","YELLOWFIN TUNA","973"
"2023","O","JP",,"PBF","PACIFIC BLUEFIN TUNA","2731"
"2023","O","JP",,"BUM","BLUE MARLIN","159"
"2023","O","JP",,"BLM","BLACK MARLIN","89"
"2023","O","JP",,"MLS","STRIPED MARLIN","108"
"2023","O","JP",,"SWO","SWORDFISH","525"
"2023","O","KI",,"SKJ","SKIPJACK TUNA","2190"
"2023","O","KI",,"YFT","YELLOWFIN TUNA","2169"
"2023","O","PF","PM","ALB","ALBACORE","214"
"2023","O","PF","PM","BET","BIGEYE TUNA","13"
"2023","O","PF","PM","SKJ","SKIPJACK TUNA","390"
"2023","O","PF","PM","YFT","YELLOWFIN TUNA","703"
"2023","O","PF","PM","BUM","BLUE MARLIN","157"
"2023","O","PF","PM","BLM","BLACK MARLIN","48"
"2023","O","PF","PM","MLS","STRIPED MARLIN","39"
"2023","T","JP",,"ALB","ALBACORE","428"
"2023","T","JP",,"BET","BIGEYE TUNA","78"
"2023","T","JP",,"SKJ","SKIPJACK TUNA","2161"
"2023","T","JP",,"YFT","YELLOWFIN TUNA","2160"
"2023","T","JP",,"PBF","PACIFIC BLUEFIN TUNA","760"
"2023","T","JP",,"BUM","BLUE MARLIN","6"
"2023","T","JP",,"BLM","BLACK MARLIN","156"
"2023","O","NU",,"YFT","YELLOWFIN TUNA","4"
"2023","T","US","GU","SKJ","SKIPJACK TUNA","233"
"2023","T","US","GU","YFT","YELLOWFIN TUNA","44"
"2023","T","US","GU","BUM","BLUE MARLIN","6"
"2023","T","US","GU","SFA","INDO-PACIFIC SAILFISH","1"
"2023","T","US","AS","SKJ","SKIPJACK TUNA","2"
"2023","H","US","HW","ALB","ALBACORE","5"
"2023","H","US","HW","BET","BIGEYE TUNA","132"
"2023","H","US","HW","SKJ","SKIPJACK TUNA","8"
