Yr,F:_1,F:_2,F:_3,F:_4,F:_5,F:_6,F:_7,F:_8,F:_9,F:_10,F:_11,F:_12,F:_13,F:_14,F:_15,F:_16,F:_17,F:_18,F:_19,F:_20,F:_21,F:_22,F:_23,F:_24,F:_25
1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1976,0,0,0,2.23965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,0,0.190581,0.0955286,0.233228,0,0.172164,0.00142936,0.0150124,0.00192541,0.0438894,0.00384597,0.1560189,0,0,0.3149162,0,0,0.02184421,0.673316,0.1197001,0.0259072,0.0486897,0.0367432,1.0373560880000001,0.62691297
1978,0,0.146005,0.0722386,0.330649,0,0.267554,0.00174595,0.0272211,0.0029098,0.0888786,0.00367457,0.15390779999999998,0,0,0.3112359,0,0,0,0.833303,0.0428829,0.03420175,0.0218705,0.0434939,1.1046579,1.2863490199999998
1979,0,0.254561,0.257831,0.845355,0,0.279682,0.00784607,0.0262645,0.00522571,0.0583754,0.00539772,0.2251769,0,0,0.3060544,0,0,0.03825266,0.635582,0.0696373,0.046548099999999995,0.0354622,0.0786607,0.9227529999999999,0.7070788
1980,0,0.296226,0.44341,0.575156,0,0.343453,0.0121793,0.017599,0.00248016,0.0104711,0.00418845,0.3765658,0,0,0.3298027,0,0,0.0973752,0.355979,0.0801527,0.0184591,0.0298939,0.0982145,1.2843228,1.8224526
1981,0,0.274458,0.289691,0.473645,0,0.390568,0.00454313,0.0154765,0.00839515,0.00425955,0.00327658,0.2127986,0,0,0.425597,0,0,0.03233311,0.9922219999999999,0.073809,0.0848054,0.0582791,0.0691601,1.672577,2.0767985
1982,0,0.281694,0.351285,0.504161,0,0.168566,0.00499457,0.0195159,0.00262669,0.00556732,0.00278366,0.2590917,0,0,0.600579,0,0,0.01714312,0.97226,0.1260049,0.1071157,0.0454181,0.0709207,0.7365029999999999,0.648173
1983,0,0.156418,0.129666,0.353703,0,0.191736,0.00682451,0.00791636,0.00289155,0.00194109,0.00150974,0.2390576,0,0,0.61503,0,0,0,1.124678,0.1561626,0.0463627,0.0409691,0.0415469,0.527885,0.5971807
1984,0,0.180323,0.0877028,0.336233,0,0.339175,0.00327861,0.00540331,0.00360714,0.00283118,0.00320867,0.2213021,0,0,0.445405,0,0,0,1.524318,0.1870768,0.0465015,0.0532282,0.0734788,0.641652,0.5408485
1985,0,0.177494,0.159206,0.85533,0,0.245426,0.00442772,0.0169708,0.0019204,0.00543292,0.00401564,0.4164583,0,0,0.437989,0,0,0,0.775697,0.1028455,0.0390961,0.050827,0.249011,0.9228817,1.181802
1986,0,0.405347,0.375117,1.37634,0,0.389601,0.0112215,0.0129032,0.00141738,0.0114089,0.00315565,0.631724,0,0,0.4227269,0,0,0,0.3252918,0.100099,0.0500509,0.0482225,0.15292,1.099945,1.1799375
1987,0,0.19856,0.180111,0.714885,0,0.346893,0.00392047,0.0162093,0.00366044,0.0239537,0.00239537,0.790793,0,0,0.3612595,0.11122811,0.01224716,0.0583025,0.720318,0.1011312,0.0981034,0.0543196,0.100296,0.4123599,0.9712334
