fleet,yr,qtr,value
JPNLL_qt1_Area1,2022,1,74753
JPNLL_qt1_Area1,2023,1,128802
JPNLL_qt1_Area1,2024,1,82939
JPNLL_qt1_Area2,2022,1,70142
JPNLL_qt1_Area2,2023,1,70727
JPNLL_qt1_Area2,2024,1,135179
JPNLL_qt1_Area3,2022,1,28525
JPNLL_qt1_Area3,2023,1,9595
JPNLL_qt1_Area3,2024,1,40944
JPNLL_qt1_Area4,2022,1,0
JPNLL_qt1_Area4,2023,1,99
JPNLL_qt1_Area4,2024,1,375
JPNLL_qt2_Area1,2022,2,102377
JPNLL_qt2_Area1,2023,2,175215
JPNLL_qt2_Area1,2024,2,226700
JPNLL_qt2_Area2,2022,2,788
JPNLL_qt2_Area2,2023,2,286
JPNLL_qt2_Area2,2024,2,976
JPNLL_qt3_Area1,2022,3,35542
JPNLL_qt3_Area1,2023,3,26044
JPNLL_qt3_Area1,2024,3,25384
JPNLL_qt3_Area2,2022,3,881
JPNLL_qt3_Area2,2023,3,1487
JPNLL_qt3_Area2,2024,3,1400
JPNLL_qt4_Area1,2022,4,76055
JPNLL_qt4_Area1,2023,4,105305
JPNLL_qt4_Area2,2023,4,259
JPNLL_qt4_Area3,2022,4,3683
JPNLL_qt4_Area3,2023,4,4566
other_ll,2022,1,34
other_ll,2022,2,34
other_ll,2022,3,34
other_ll,2022,4,34
other_ll,2023,1,34
other_ll,2023,2,34
other_ll,2023,3,34
other_ll,2023,4,34
other_ll,2024,1,34
other_ll,2024,2,34
other_ll,2024,3,34
other_ll,2024,4,34
JPNDF_qt14,2022,1,22.35
JPNDF_qt23,2022,2,9.41
JPNDF_qt23,2022,3,74.95
JPNDF_qt14,2022,4,31.29
JPNDF_qt14,2023,1,22.35
JPNDF_qt23,2023,2,9.41
JPNDF_qt23,2023,3,74.95
JPNDF_qt14,2023,4,31.29
JPNDF_qt14,2024,1,22.35
JPNDF_qt23,2024,2,9.41
JPNDF_qt23,2024,3,74.95
JPNDF_qt14,2024,4,31.29
others,2022,1,31.25
others,2022,2,31.25
others,2022,3,31.25
others,2022,4,31.25
others,2023,1,31.25
others,2023,2,31.25
others,2023,3,31.25
others,2023,4,31.25
others,2024,1,31.25
others,2024,2,31.25
others,2024,3,31.25
others,2024,4,31.25
