"YY","GEAR_CODE","FLAG_CODE","FLEET_CODE","SP_CODE","SP_NAME","SP_MT"
"1952","O","NP",,"ALB","ALBACORE","4572"
"1953","O","NP",,"ALB","ALBACORE","4981"
"1954","O","NP",,"ALB","ALBACORE","4672"
"1955","O","NP",,"ALB","ALBACORE","3723"
"1956","O","NP",,"ALB","ALBACORE","3105"
"1957","O","NP",,"ALB","ALBACORE","5013"
"1958","O","NP",,"ALB","ALBACORE","5442"
"1959","O","NP",,"ALB","ALBACORE","4608"
"1960","O","NP",,"ALB","ALBACORE","3139"
"1961","O","NP",,"ALB","ALBACORE","6164"
"1962","O","NP",,"ALB","ALBACORE","7093"
"1963","O","NP",,"ALB","ALBACORE","4050"
"1964","O","NP",,"ALB","ALBACORE","5596"
"1965","O","NP",,"ALB","ALBACORE","6619"
"1966","O","NP",,"ALB","ALBACORE","8115"
"1967","O","NP",,"ALB","ALBACORE","11534"
"1968","O","NP",,"ALB","ALBACORE","10430"
"1969","O","NP",,"ALB","ALBACORE","5187"
"1970","O","NP",,"ALB","ALBACORE","1703"
"1971","O","NP",,"ALB","ALBACORE","5931"
"1972","O","NP",,"ALB","ALBACORE","10480"
"1973","O","NP",,"ALB","ALBACORE","2318"
"1974","O","NP",,"ALB","ALBACORE","7004"
"1975","O","NP",,"ALB","ALBACORE","5738"
"1976","O","NP",,"ALB","ALBACORE","552"
"1979","O","NP",,"ALB","ALBACORE","2461"
"1980","O","NP",,"ALB","ALBACORE","2083"
"1981","O","NP",,"ALB","ALBACORE","119"
"1982","O","NP",,"ALB","ALBACORE","972"
"1983","O","NP",,"ALB","ALBACORE","802"
"2023","T","EP",,"ALB","ALBACORE","6610"
"2023","O","EP",,"ALB","ALBACORE","336"
"1952","O","EP",,"ALB","ALBACORE","1373"
"1953","O","EP",,"ALB","ALBACORE","171"
"1954","O","EP",,"ALB","ALBACORE","147"
"1955","O","EP",,"ALB","ALBACORE","577"
"1956","O","EP",,"ALB","ALBACORE","482"
"1957","O","EP",,"ALB","ALBACORE","304"
"1958","O","EP",,"ALB","ALBACORE","48"
"1960","O","EP",,"ALB","ALBACORE","663"
"1961","O","EP",,"ALB","ALBACORE","2143"
"1962","O","EP",,"ALB","ALBACORE","1913"
"1963","O","EP",,"ALB","ALBACORE","2381"
"1964","O","EP",,"ALB","ALBACORE","970"
"1965","O","EP",,"ALB","ALBACORE","978"
"1966","O","EP",,"ALB","ALBACORE","607"
"1967","O","EP",,"ALB","ALBACORE","961"
"1968","O","EP",,"ALB","ALBACORE","1108"
"1969","O","EP",,"ALB","ALBACORE","366"
"1971","O","EP",,"ALB","ALBACORE","1251"
"1970","O","EP",,"ALB","ALBACORE","891"
"1972","O","EP",,"ALB","ALBACORE","1089"
"1973","O","EP",,"ALB","ALBACORE","84"
"1974","O","EP",,"ALB","ALBACORE","94"
"1976","O","EP",,"ALB","ALBACORE","989"
"1975","O","EP",,"ALB","ALBACORE","640"
"1977","O","EP",,"ALB","ALBACORE","1518"
"1979","O","EP",,"ALB","ALBACORE","236"
"1980","O","EP",,"ALB","ALBACORE","422"
"1981","O","EP",,"ALB","ALBACORE","361"
"1982","O","EP",,"ALB","ALBACORE","614"
"1983","O","EP",,"ALB","ALBACORE","96"
"1984","O","EP",,"ALB","ALBACORE","5361"
"1985","O","EP",,"ALB","ALBACORE","1388"
"1986","O","EP",,"ALB","ALBACORE","392"
"1987","O","EP",,"ALB","ALBACORE","175"
"1988","O","EP",,"ALB","ALBACORE","81"
"1989","O","EP",,"ALB","ALBACORE","251"
"1990","O","EP",,"ALB","ALBACORE","369"
"1991","O","EP",,"ALB","ALBACORE","176"
"1992","O","EP",,"ALB","ALBACORE","20"
