yy,HBF,val
1990,5-8,3
1990,NA,28
1991,5-8,111
1992,5-8,143
1992,9-12,1
1993,13-19,9
1993,5-8,161
1993,9-12,7
1994,13-19,12
1994,20-29,5
1994,30-39,11
1994,5-8,92
1994,9-12,45
1994,NA,25
1995,13-19,34
1995,20-29,44
1995,30-39,17
1995,5-8,106
1995,9-12,24
1995,NA,40
1996,13-19,3
1996,20-29,68
1996,30-39,23
1996,40-49,1
1996,5-8,138
1996,9-12,73
1996,NA,34
1997,13-19,15
1997,20-29,44
1997,30-39,26
1997,40-49,35
1997,5-8,156
1997,9-12,20
1997,NA,70
1998,13-19,49
1998,20-29,76
1998,30-39,36
1998,5-8,49
1998,9-12,18
1998,NA,50
1999,13-19,53
1999,20-29,48
1999,30-39,44
1999,5-8,40
1999,NA,39
2000,13-19,21
2000,20-29,79
2000,30-39,74
2000,5-8,34
2000,9-12,5
2000,NA,51
2001,13-19,50
2001,20-29,421
2001,30-39,179
2001,5-8,30
2001,9-12,9
2001,NA,17
2002,13-19,76
2002,20-29,464
2002,30-39,184
2002,40-49,28
2002,5-8,121
2002,50-59,1
2002,60+,1
2002,9-12,6
2002,NA,36
2003,13-19,26
2003,20-29,575
2003,30-39,303
2003,40-49,38
2003,5-8,132
2003,50-59,4
2003,9-12,28
2003,NA,46
2004,13-19,5
2004,20-29,703
2004,30-39,270
2004,40-49,25
2004,5-8,151
2004,60+,1
2004,9-12,34
2004,NA,21
2005,13-19,75
2005,20-29,691
2005,30-39,203
2005,40-49,20
2005,5-8,90
2005,50-59,3
2005,9-12,26
2005,NA,226
2006,13-19,65
2006,20-29,950
2006,30-39,253
2006,40-49,65
2006,5-8,131
2006,60+,1
2006,9-12,28
2006,NA,88
2007,13-19,21
2007,20-29,531
2007,30-39,137
2007,40-49,12
2007,5-8,109
2007,9-12,33
2007,NA,116
2008,13-19,87
2008,20-29,852
2008,30-39,223
2008,40-49,36
2008,5-8,137
2008,60+,1
2008,9-12,93
2008,NA,174
2009,13-19,59
2009,20-29,540
2009,30-39,165
2009,40-49,75
2009,5-8,162
2009,50-59,2
2009,9-12,78
2009,NA,113
2010,13-19,56
2010,20-29,345
2010,30-39,171
2010,40-49,54
2010,5-8,90
2010,50-59,1
2010,9-12,23
2010,NA,34
2011,13-19,183
2011,20-29,1026
2011,30-39,123
2011,40-49,38
2011,5-8,156
2011,50-59,6
2011,9-12,77
2011,NA,114
2012,13-19,246
2012,20-29,816
2012,30-39,132
2012,40-49,36
2012,5-8,204
2012,50-59,9
2012,9-12,79
2012,NA,129
2013,13-19,223
2013,20-29,1263
2013,30-39,283
2013,40-49,54
2013,5-8,142
2013,50-59,3
2013,9-12,56
2013,NA,31
2014,13-19,234
2014,20-29,1416
2014,30-39,396
2014,40-49,101
2014,5-8,144
2014,50-59,1
2014,9-12,40
2014,NA,18
2015,13-19,345
2015,20-29,1260
2015,30-39,309
2015,40-49,59
2015,5-8,108
2015,50-59,1
2015,9-12,54
2015,NA,36
2016,13-19,466
2016,20-29,1849
2016,30-39,295
2016,40-49,51
2016,5-8,140
2016,50-59,6
2016,9-12,58
2016,NA,79
2017,13-19,383
2017,20-29,1678
2017,30-39,231
2017,40-49,43
2017,5-8,441
2017,50-59,1
2017,9-12,66
2017,NA,85
2018,13-19,511
2018,20-29,2109
2018,30-39,244
2018,40-49,36
2018,5-8,223
2018,50-59,4
2018,9-12,108
2018,NA,112
2019,13-19,946
2019,20-29,2791
2019,30-39,317
2019,40-49,24
2019,5-8,76
2019,9-12,70
2019,NA,76
2020,13-19,174
2020,20-29,1922
2020,30-39,268
2020,40-49,8
2020,5-8,79
2020,50-59,13
2020,9-12,25
2020,NA,112
2021,13-19,227
2021,20-29,1637
2021,30-39,235
2021,40-49,8
2021,5-8,220
2021,9-12,90
2021,NA,32
