"yy","HK_set","val"
1990,"2000-2999",1
1990,"3000-3999",2
1990,NA,28
1991,"2000-2999",18
1991,"3000-3999",93
1992,"1000-1499",1
1992,"1500-1999",1
1992,"2000-2999",28
1992,"3000-3999",114
1993,"1000-1499",9
1993,"200-999",18
1993,"2000-2999",41
1993,"3000-3999",109
1994,"1000-1499",14
1994,"1500-1999",12
1994,"200-999",52
1994,"2000-2999",18
1994,"3000-3999",94
1995,"1000-1499",65
1995,"1500-1999",40
1995,"200-999",52
1995,"2000-2999",15
1995,"3000-3999",92
1995,"4000+",1
1996,"1000-1499",57
1996,"1500-1999",50
1996,"200-999",69
1996,"2000-2999",34
1996,"3000-3999",130
1997,"1000-1499",30
1997,"1500-1999",40
1997,"200-999",96
1997,"2000-2999",34
1997,"3000-3999",163
1997,"4000+",3
1998,"1000-1499",42
1998,"1500-1999",42
1998,"200-999",87
1998,"2000-2999",100
1998,"3000-3999",6
1998,"4000+",1
1999,"1000-1499",33
1999,"1500-1999",51
1999,"200-999",55
1999,"2000-2999",60
1999,"3000-3999",24
1999,NA,1
2000,"1000-1499",35
2000,"1500-1999",58
2000,"200-999",66
2000,"2000-2999",99
2000,"3000-3999",6
2001,"1000-1499",71
2001,"1500-1999",279
2001,"200-999",50
2001,"2000-2999",296
2001,"3000-3999",7
2001,NA,3
2002,"1000-1499",107
2002,"1500-1999",308
2002,"200-999",90
2002,"2000-2999",399
2002,"3000-3999",6
2002,NA,7
2003,"1000-1499",82
2003,"1500-1999",381
2003,"200-999",97
2003,"2000-2999",555
2003,"3000-3999",27
2003,"4000+",9
2003,NA,1
2004,"1000-1499",167
2004,"1500-1999",436
2004,"200-999",74
2004,"2000-2999",521
2004,"3000-3999",12
2005,"1000-1499",117
2005,"1500-1999",358
2005,"200-999",248
2005,"2000-2999",583
2005,"3000-3999",27
2005,"4000+",1
2006,"1000-1499",152
2006,"1500-1999",421
2006,"200-999",124
2006,"2000-2999",829
2006,"3000-3999",53
2006,NA,2
2007,"1000-1499",127
2007,"1500-1999",270
2007,"200-999",146
2007,"2000-2999",393
2007,"3000-3999",23
2008,"1000-1499",258
2008,"1500-1999",284
2008,"200-999",181
2008,"2000-2999",831
2008,"3000-3999",49
2009,"1000-1499",194
2009,"1500-1999",210
2009,"200-999",151
2009,"2000-2999",572
2009,"3000-3999",46
2009,NA,21
2010,"1000-1499",103
2010,"1500-1999",173
2010,"200-999",57
2010,"2000-2999",402
2010,"3000-3999",35
2010,"4000+",3
2010,NA,1
2011,"1000-1499",243
2011,"1500-1999",254
2011,"200-999",70
2011,"2000-2999",1056
2011,"3000-3999",90
2011,"4000+",9
2011,NA,1
2012,"1000-1499",269
2012,"1500-1999",176
2012,"200-999",33
2012,"2000-2999",932
2012,"3000-3999",201
2012,"4000+",30
2012,NA,10
2013,"1000-1499",116
2013,"1500-1999",185
2013,"200-999",25
2013,"2000-2999",1116
2013,"3000-3999",544
2013,"4000+",69
2014,"1000-1499",179
2014,"1500-1999",169
2014,"200-999",30
2014,"2000-2999",1284
2014,"3000-3999",542
2014,"4000+",140
2014,NA,6
2015,"1000-1499",128
2015,"1500-1999",240
2015,"200-999",28
2015,"2000-2999",1184
2015,"3000-3999",484
2015,"4000+",99
2015,NA,9
2016,"1000-1499",139
2016,"1500-1999",185
2016,"200-999",49
2016,"2000-2999",1688
2016,"3000-3999",777
2016,"4000+",100
2016,NA,6
2017,"1000-1499",209
2017,"1500-1999",191
2017,"200-999",67
2017,"2000-2999",1734
2017,"3000-3999",639
2017,"4000+",88
2018,"1000-1499",85
2018,"1500-1999",243
2018,"200-999",23
2018,"2000-2999",1963
2018,"3000-3999",883
2018,"4000+",107
2018,NA,43
2019,"1000-1499",47
2019,"1500-1999",370
2019,"200-999",28
2019,"2000-2999",2255
2019,"3000-3999",1354
2019,"4000+",233
2019,NA,13
2020,"1000-1499",69
2020,"1500-1999",129
2020,"200-999",24
2020,"2000-2999",1302
2020,"3000-3999",873
2020,"4000+",204
2021,"1000-1499",190
2021,"1500-1999",140
2021,"200-999",35
2021,"2000-2999",1062
2021,"3000-3999",888
2021,"4000+",133
2021,NA,1
