"yy","bask_bins","val"
1990,50,28
1990,400,1
1990,450,1
1990,550,1
1991,400,1
1991,450,53
1991,500,57
1992,150,1
1992,300,2
1992,400,12
1992,450,79
1992,500,49
1992,550,1
1993,100,1
1993,150,9
1993,200,16
1993,250,6
1993,350,6
1993,400,44
1993,450,65
1993,500,30
1994,50,2
1994,100,17
1994,150,21
1994,200,22
1994,250,20
1994,300,7
1994,350,7
1994,400,44
1994,450,41
1994,500,9
1995,50,13
1995,100,76
1995,150,26
1995,200,17
1995,250,33
1995,300,7
1995,350,6
1995,400,13
1995,450,46
1995,500,20
1995,550,8
1996,50,12
1996,100,106
1996,150,6
1996,200,25
1996,250,26
1996,300,32
1996,350,1
1996,400,31
1996,450,64
1996,500,37
1997,50,35
1997,100,81
1997,150,13
1997,200,30
1997,250,33
1997,300,15
1997,350,7
1997,400,33
1997,450,93
1997,500,25
1997,550,1
1998,50,17
1998,100,103
1998,150,39
1998,200,52
1998,250,28
1998,300,26
1998,350,8
1998,400,3
1998,450,1
1998,550,1
1999,50,6
1999,100,92
1999,150,13
1999,200,41
1999,250,32
1999,300,18
1999,350,16
1999,450,6
2000,50,18
2000,100,128
2000,150,41
2000,200,39
2000,250,23
2000,300,8
2000,350,3
2000,400,3
2000,NA,1
2001,50,15
2001,100,603
2001,150,41
2001,200,21
2001,250,15
2001,300,1
2001,350,6
2001,NA,4
2002,50,34
2002,100,629
2002,150,125
2002,200,69
2002,250,22
2002,300,32
2002,NA,6
2003,50,15
2003,100,884
2003,150,119
2003,200,64
2003,250,22
2003,300,4
2003,350,1
2003,400,6
2003,450,3
2003,NA,34
2004,50,13
2004,100,964
2004,150,145
2004,200,44
2004,250,37
2004,300,3
2004,350,4
2005,50,12
2005,100,869
2005,150,148
2005,200,131
2005,250,132
2005,300,37
2005,350,5
2006,50,18
2006,100,1090
2006,150,273
2006,200,113
2006,250,62
2006,300,19
2006,350,3
2006,NA,3
2007,50,16
2007,100,600
2007,150,135
2007,200,92
2007,250,81
2007,300,32
2007,350,2
2007,650,1
2008,50,18
2008,100,925
2008,150,350
2008,200,102
2008,250,130
2008,300,74
2008,350,4
2009,50,48
2009,100,572
2009,150,285
2009,200,132
2009,250,82
2009,300,68
2009,350,3
2009,NA,4
2010,50,48
2010,100,374
2010,150,207
2010,200,74
2010,250,44
2010,300,23
2010,350,3
2010,NA,1
2011,50,29
2011,100,618
2011,150,668
2011,200,186
2011,250,134
2011,300,31
2011,350,14
2011,400,27
2011,450,16
2012,50,48
2012,100,459
2012,150,606
2012,200,222
2012,250,76
2012,300,64
2012,350,99
2012,400,59
2012,450,8
2012,NA,10
2013,50,23
2013,100,607
2013,150,1041
2013,200,202
2013,250,63
2013,300,39
2013,350,16
2013,400,15
2013,450,24
2013,500,24
2013,NA,1
2014,50,42
2014,100,794
2014,150,1110
2014,200,190
2014,250,88
2014,300,72
2014,350,44
2014,400,6
2014,900,1
2014,NA,3
2015,50,21
2015,100,469
2015,150,1314
2015,200,168
2015,250,108
2015,300,28
2015,350,33
2015,400,10
2015,450,6
2015,500,3
2015,750,1
2015,NA,11
2016,50,19
2016,100,589
2016,150,1743
2016,200,235
2016,250,187
2016,300,47
2016,350,55
2016,400,19
2016,450,8
2016,500,2
2016,550,1
2016,650,1
2016,850,3
2016,900,22
2016,NA,13
2017,50,14
2017,100,537
2017,150,1455
2017,200,385
2017,250,159
2017,300,70
2017,350,43
2017,400,18
2017,450,102
2017,500,99
2017,550,28
2017,650,11
2017,850,1
2017,900,1
2017,NA,5
2018,50,4
2018,100,507
2018,150,2020
2018,200,384
2018,250,95
2018,300,43
2018,350,74
2018,400,37
2018,450,17
2018,500,36
2018,550,53
2018,600,1
2018,700,6
2018,NA,70
2019,50,12
2019,100,528
2019,150,2836
2019,200,642
2019,250,74
2019,300,43
2019,350,64
2019,400,15
2019,450,16
2019,500,3
2019,550,1
2019,750,1
2019,800,1
2019,850,2
2019,900,28
2019,NA,34
2020,50,27
2020,100,290
2020,150,1663
2020,200,380
2020,250,56
2020,300,24
2020,350,32
2020,400,25
2020,450,19
2020,500,32
2020,550,19
2020,600,32
2020,650,1
2020,750,1
2021,50,21
2021,100,274
2021,150,1487
2021,200,392
2021,250,74
2021,300,63
2021,350,72
2021,400,20
2021,450,36
2021,500,6
2021,550,3
2021,NA,1
