"yy","bask_bins2","val"
1990,100,28
1990,400,1
1990,500,1
1990,600,1
1991,400,1
1991,500,110
1992,200,1
1992,300,2
1992,400,12
1992,500,128
1992,600,1
1993,100,1
1993,200,25
1993,300,6
1993,400,50
1993,500,95
1994,100,19
1994,200,43
1994,300,27
1994,400,51
1994,500,50
1995,100,89
1995,200,43
1995,300,40
1995,400,19
1995,500,66
1995,600,8
1996,100,118
1996,200,31
1996,300,58
1996,400,32
1996,500,101
1997,100,116
1997,200,43
1997,300,48
1997,400,40
1997,500,118
1997,600,1
1998,100,120
1998,200,91
1998,300,54
1998,400,11
1998,500,1
1998,600,1
1999,100,98
1999,200,54
1999,300,50
1999,400,16
1999,500,6
2000,100,146
2000,200,80
2000,300,31
2000,400,6
2000,NA,1
2001,100,618
2001,200,62
2001,300,16
2001,400,6
2001,NA,4
2002,100,663
2002,200,194
2002,300,54
2002,NA,6
2003,100,899
2003,200,183
2003,300,26
2003,400,7
2003,500,3
2003,NA,34
2004,100,977
2004,200,189
2004,300,40
2004,400,4
2005,100,881
2005,200,279
2005,300,169
2005,400,5
2006,100,1108
2006,200,386
2006,300,81
2006,400,3
2006,NA,3
2007,100,616
2007,200,227
2007,300,113
2007,400,2
2007,700,1
2008,100,943
2008,200,452
2008,300,204
2008,400,4
2009,100,620
2009,200,417
2009,300,150
2009,400,3
2009,NA,4
2010,100,422
2010,200,281
2010,300,67
2010,400,3
2010,NA,1
2011,100,647
2011,200,854
2011,300,165
2011,400,41
2011,500,16
2012,100,507
2012,200,828
2012,300,140
2012,400,158
2012,500,8
2012,NA,10
2013,100,630
2013,200,1243
2013,300,102
2013,400,31
2013,500,48
2013,NA,1
2014,100,836
2014,200,1300
2014,300,160
2014,400,50
2014,900,1
2014,NA,3
2015,100,490
2015,200,1482
2015,300,136
2015,400,43
2015,500,9
2015,800,1
2015,NA,11
2016,100,608
2016,200,1978
2016,300,234
2016,400,74
2016,500,10
2016,600,1
2016,700,1
2016,900,25
2016,NA,13
2017,100,551
2017,200,1840
2017,300,229
2017,400,61
2017,500,201
2017,600,28
2017,700,11
2017,900,2
2017,NA,5
2018,100,511
2018,200,2404
2018,300,138
2018,400,111
2018,500,53
2018,600,54
2018,700,6
2018,NA,70
2019,100,540
2019,200,3478
2019,300,117
2019,400,79
2019,500,19
2019,600,1
2019,800,2
2019,900,30
2019,NA,34
2020,100,317
2020,200,2043
2020,300,80
2020,400,57
2020,500,51
2020,600,51
2020,700,1
2020,800,1
2021,100,295
2021,200,1879
2021,300,137
2021,400,92
2021,500,42
2021,600,3
2021,NA,1
