"yy","branch_dist_bins","val"
1990,"50",3
1990,NA,28
1991,"10",1
1991,"20",3
1991,NA,107
1992,"80",1
1992,NA,143
1993,"10",1
1993,"30",2
1993,"40",18
1993,"50",4
1993,"60",4
1993,"80",4
1993,"100",3
1993,NA,141
1994,"10",5
1994,"30",4
1994,"40",2
1994,"50",10
1994,"70",1
1994,"80",3
1994,NA,165
1995,"20",1
1995,"30",2
1995,"40",11
1995,"50",8
1995,"60",31
1995,"80",3
1995,"90",5
1995,NA,204
1996,"10",1
1996,"20",1
1996,"40",56
1996,"50",31
1996,"60",13
1996,"70",1
1996,NA,237
1997,"20",2
1997,"30",5
1997,"40",40
1997,"50",38
1997,"60",2
1997,"70",1
1997,"80",6
1997,"90",1
1997,NA,271
1998,"10",6
1998,"20",2
1998,"30",9
1998,"40",53
1998,"50",49
1998,"60",27
1998,"70",1
1998,"80",1
1998,"100",1
1998,NA,129
1999,"10",13
1999,"20",1
1999,"30",11
1999,"40",43
1999,"50",66
1999,"60",6
1999,"70",13
1999,"90",2
1999,NA,69
2000,"10",15
2000,"20",1
2000,"40",19
2000,"50",30
2000,"60",12
2000,"70",6
2000,"90",1
2000,"100",6
2000,NA,174
2001,"30",15
2001,"40",30
2001,"50",36
2001,"60",1
2001,"70",6
2001,"80",1
2001,NA,617
2002,"10",15
2002,"20",7
2002,"30",18
2002,"40",60
2002,"50",148
2002,"60",42
2002,"90",2
2002,"100",1
2002,NA,624
2003,"10",14
2003,"20",2
2003,"30",31
2003,"40",83
2003,"50",90
2003,"60",32
2003,"80",10
2003,NA,890
2004,"20",8
2004,"30",41
2004,"40",87
2004,"50",109
2004,"60",40
2004,"70",2
2004,"80",1
2004,NA,922
2005,"10",2
2005,"20",7
2005,"30",55
2005,"40",38
2005,"50",172
2005,"60",12
2005,"70",10
2005,"80",1
2005,"90",8
2005,NA,1029
2006,"10",2
2006,"20",10
2006,"30",60
2006,"40",120
2006,"50",275
2006,"60",38
2006,"80",4
2006,"90",10
2006,NA,1062
2007,"10",2
2007,"20",1
2007,"30",33
2007,"40",70
2007,"50",182
2007,"60",46
2007,"70",3
2007,"80",1
2007,"100",4
2007,NA,617
2008,"10",5
2008,"20",4
2008,"30",111
2008,"40",180
2008,"50",108
2008,"60",15
2008,"70",4
2008,NA,1176
2009,"10",3
2009,"20",5
2009,"30",107
2009,"40",162
2009,"50",64
2009,"60",17
2009,"70",6
2009,"90",4
2009,NA,826
2010,"10",2
2010,"20",11
2010,"30",80
2010,"40",112
2010,"50",29
2010,"60",45
2010,"70",7
2010,"80",5
2010,NA,483
2011,"10",9
2011,"20",29
2011,"30",75
2011,"40",196
2011,"50",116
2011,"60",104
2011,"70",3
2011,"80",1
2011,"100",1
2011,NA,1189
2012,"10",1
2012,"20",16
2012,"30",162
2012,"40",251
2012,"50",234
2012,"60",117
2012,"70",5
2012,"80",2
2012,NA,863
2013,"10",11
2013,"20",13
2013,"30",190
2013,"40",563
2013,"50",151
2013,"60",76
2013,"70",2
2013,NA,1049
2014,"10",7
2014,"20",21
2014,"30",227
2014,"40",493
2014,"50",134
2014,"60",191
2014,"70",2
2014,"80",3
2014,NA,1272
2015,"10",7
2015,"20",24
2015,"30",226
2015,"40",406
2015,"50",319
2015,"60",66
2015,"70",6
2015,"80",8
2015,"100",2
2015,NA,1108
2016,"10",16
2016,"20",13
2016,"30",381
2016,"40",658
2016,"50",371
2016,"60",106
2016,"70",20
2016,"80",1
2016,"100",4
2016,NA,1374
2017,"10",2
2017,"20",45
2017,"30",361
2017,"40",554
2017,"50",275
2017,"60",201
2017,"70",9
2017,NA,1481
2018,"10",1
2018,"20",13
2018,"30",413
2018,"40",513
2018,"50",483
2018,"60",185
2018,"70",4
2018,"80",5
2018,NA,1730
2019,"10",3
2019,"20",69
2019,"30",504
2019,"40",882
2019,"50",817
2019,"60",173
2019,"70",13
2019,"80",1
2019,NA,1838
2020,"10",1
2020,"20",16
2020,"30",341
2020,"40",586
2020,"50",119
2020,"60",50
2020,"70",9
2020,"80",3
2020,NA,1476
2021,"10",6
2021,"20",21
2021,"30",218
2021,"40",480
2021,"50",136
2021,"60",81
2021,"70",7
2021,"80",10
2021,NA,1490
