"yy","branch_length_bins","val"
1990,"10",2
1990,"40",1
1990,NA,28
1991,"10",4
1991,NA,107
1992,"40",1
1992,NA,143
1993,"10",4
1993,"40",32
1993,NA,141
1994,"10",4
1994,"20",11
1994,"40",8
1994,NA,167
1995,"10",7
1995,"20",22
1995,"40",29
1995,NA,207
1996,"10",2
1996,"20",68
1996,"30",2
1996,"40",30
1996,"50",1
1996,NA,237
1997,"10",14
1997,"20",49
1997,"40",19
1997,"50",7
1997,"70",2
1997,NA,275
1998,"10",22
1998,"20",51
1998,"40",50
1998,"50",22
1998,"70",2
1998,NA,131
1999,"10",12
1999,"20",53
1999,"30",20
1999,"40",48
1999,"50",2
1999,"80",1
1999,"120",1
1999,NA,87
2000,"10",14
2000,"20",17
2000,"30",33
2000,"40",17
2000,"50",6
2000,"60",4
2000,NA,173
2001,"10",46
2001,"20",17
2001,"30",15
2001,"40",10
2001,"50",1
2001,NA,617
2002,"10",93
2002,"20",76
2002,"30",58
2002,"40",14
2002,"50",38
2002,"60",1
2002,NA,637
2003,"10",128
2003,"20",269
2003,"30",77
2003,"40",21
2003,"50",5
2003,"60",1
2003,"100",1
2003,NA,650
2004,"10",135
2004,"20",898
2004,"30",134
2004,"40",17
2004,"50",4
2004,NA,22
2005,"10",233
2005,"20",903
2005,"30",106
2005,"40",2
2005,"50",33
2005,NA,57
2006,"10",155
2006,"20",1137
2006,"30",137
2006,"40",2
2006,"50",44
2006,"60",5
2006,NA,101
2007,"10",94
2007,"20",670
2007,"30",142
2007,"40",11
2007,"50",7
2007,"60",6
2007,NA,29
2008,"10",241
2008,"20",1271
2008,"30",70
2008,"40",5
2008,"50",3
2008,NA,13
2009,"10",258
2009,"20",831
2009,"30",62
2009,"40",5
2009,NA,38
2010,"10",117
2010,"20",603
2010,"30",21
2010,"40",3
2010,"60",30
2011,"10",143
2011,"20",1403
2011,"30",23
2011,"40",27
2011,"50",38
2011,"60",80
2011,"70",9
2012,"10",193
2012,"20",1116
2012,"30",145
2012,"40",32
2012,"50",67
2012,"60",87
2012,NA,11
2013,"10",213
2013,"20",1356
2013,"30",244
2013,"40",65
2013,"50",52
2013,"60",96
2013,"80",6
2013,NA,23
2014,"10",209
2014,"20",1674
2014,"30",267
2014,"40",2
2014,"50",43
2014,"60",143
2014,"90",3
2014,"100",1
2014,NA,8
2015,"10",92
2015,"20",1497
2015,"30",380
2015,"40",85
2015,"50",8
2015,"60",62
2015,NA,48
2016,"10",291
2016,"20",1891
2016,"30",369
2016,"40",130
2016,"50",65
2016,"60",160
2016,"70",1
2016,"80",3
2016,"100",5
2016,"110",1
2016,NA,28
2017,"10",403
2017,"20",1831
2017,"30",374
2017,"40",67
2017,"50",73
2017,"60",167
2017,"70",2
2017,"80",3
2017,NA,8
2018,"10",248
2018,"20",2121
2018,"30",569
2018,"40",97
2018,"50",118
2018,"60",143
2018,"80",2
2018,"110",3
2018,"120",1
2018,NA,45
2019,"10",137
2019,"20",2611
2019,"30",1174
2019,"40",111
2019,"50",100
2019,"60",139
2019,"70",12
2019,NA,16
2020,"10",111
2020,"20",1781
2020,"30",514
2020,"40",22
2020,"50",73
2020,"60",71
2020,NA,29
2021,"10",132
2021,"20",1466
2021,"30",549
2021,"40",72
2021,"50",55
2021,"60",144
2021,NA,31
