"yy","fate_code","val"
2008,"DIS",5
2008,"ESC",1
2008,"RET",412
2009,"DIS",9
2009,"ESC",3
2009,"RET",356
2010,"DIS",25
2010,"ESC",3
2010,"RET",225
2011,"DIS",17
2011,"ESC",4
2011,"RET",536
2012,"CUT",32
2012,"DIS",42
2012,"ESC",2
2012,"RET",1715
2013,"CUT",38
2013,"DIS",87
2013,"ESC",8
2013,"RET",2666
2014,"CUT",72
2014,"DIS",156
2014,"ESC",7
2014,"RET",3262
2015,"CUT",3
2015,"DIS",107
2015,"ESC",4
2015,"RET",2831
2016,"CUT",75
2016,"DIS",162
2016,"ESC",9
2016,"RET",3645
2017,"CUT",4
2017,"DIS",235
2017,"ESC",6
2017,"RET",3878
2018,"CUT",2
2018,"DIS",305
2018,"ESC",10
2018,"RET",4777
2019,"CUT",4
2019,"DIS",532
2019,"ESC",9
2019,"RET",6210
2020,"CUT",4
2020,"DIS",197
2020,"ESC",3
2020,"RET",3542
2021,"DIS",146
2021,"ESC",3
2021,"RET",2492
2022,"DIS",63
2022,"ESC",3
2022,"RET",1389
