yy,HBF,HK_set,val
1990,5-8,2000-2999,1
1990,5-8,3000-3999,2
1990,NA,NA,28
1991,5-8,2000-2999,18
1991,5-8,3000-3999,93
1992,5-8,1500-1999,1
1992,5-8,2000-2999,28
1992,5-8,3000-3999,114
1992,9-12,1000-1499,1
1993,13-19,1000-1499,3
1993,13-19,200-999,1
1993,13-19,2000-2999,5
1993,5-8,1000-1499,6
1993,5-8,200-999,17
1993,5-8,2000-2999,35
1993,5-8,3000-3999,103
1993,9-12,2000-2999,1
1993,9-12,3000-3999,6
1994,13-19,1000-1499,2
1994,13-19,200-999,1
1994,13-19,2000-2999,5
1994,13-19,3000-3999,4
1994,20-29,1000-1499,4
1994,20-29,1500-1999,1
1994,30-39,1500-1999,10
1994,30-39,200-999,1
1994,5-8,1000-1499,7
1994,5-8,200-999,26
1994,5-8,2000-2999,10
1994,5-8,3000-3999,49
1994,9-12,1500-1999,1
1994,9-12,2000-2999,3
1994,9-12,3000-3999,41
1994,NA,1000-1499,1
1994,NA,200-999,24
1995,13-19,1000-1499,19
1995,13-19,1500-1999,1
1995,13-19,2000-2999,5
1995,13-19,3000-3999,9
1995,20-29,1000-1499,13
1995,20-29,1500-1999,29
1995,20-29,200-999,1
1995,20-29,2000-2999,1
1995,30-39,1000-1499,8
1995,30-39,1500-1999,9
1995,5-8,1000-1499,11
1995,5-8,200-999,12
1995,5-8,2000-2999,9
1995,5-8,3000-3999,74
1995,9-12,1000-1499,9
1995,9-12,1500-1999,1
1995,9-12,200-999,4
1995,9-12,3000-3999,9
1995,9-12,4000+,1
1995,NA,1000-1499,5
1995,NA,200-999,35
1996,13-19,1000-1499,2
1996,13-19,1500-1999,1
1996,20-29,1000-1499,32
1996,20-29,1500-1999,34
1996,20-29,200-999,2
1996,30-39,1000-1499,5
1996,30-39,1500-1999,13
1996,30-39,200-999,1
1996,30-39,2000-2999,4
1996,40-49,200-999,1
1996,5-8,1000-1499,15
1996,5-8,1500-1999,1
1996,5-8,200-999,13
1996,5-8,2000-2999,13
1996,5-8,3000-3999,96
1996,9-12,1500-1999,1
1996,9-12,200-999,22
1996,9-12,2000-2999,16
1996,9-12,3000-3999,34
1996,NA,1000-1499,3
1996,NA,200-999,30
1996,NA,2000-2999,1
1997,13-19,1000-1499,1
1997,13-19,200-999,9
1997,13-19,3000-3999,5
1997,20-29,1000-1499,5
1997,20-29,1500-1999,19
1997,20-29,200-999,14
1997,20-29,2000-2999,5
1997,20-29,3000-3999,1
1997,30-39,1500-1999,13
1997,30-39,2000-2999,13
1997,40-49,1500-1999,8
1997,40-49,200-999,4
1997,40-49,2000-2999,13
1997,40-49,3000-3999,10
1997,5-8,1000-1499,5
1997,5-8,200-999,14
1997,5-8,2000-2999,3
1997,5-8,3000-3999,134
1997,9-12,1000-1499,2
1997,9-12,200-999,2
1997,9-12,3000-3999,13
1997,9-12,4000+,3
1997,NA,1000-1499,17
1997,NA,200-999,53
1998,13-19,1000-1499,1
1998,13-19,1500-1999,1
1998,13-19,200-999,16
1998,13-19,2000-2999,25
1998,13-19,3000-3999,5
1998,13-19,4000+,1
1998,20-29,1000-1499,15
1998,20-29,1500-1999,14
1998,20-29,200-999,5
1998,20-29,2000-2999,42
1998,30-39,1000-1499,2
1998,30-39,1500-1999,26
1998,30-39,2000-2999,8
1998,5-8,1000-1499,7
1998,5-8,1500-1999,1
1998,5-8,200-999,30
1998,5-8,2000-2999,10
1998,5-8,3000-3999,1
1998,9-12,1000-1499,1
1998,9-12,200-999,2
1998,9-12,2000-2999,15
1998,NA,1000-1499,16
1998,NA,200-999,34
1999,13-19,1500-1999,1
1999,13-19,200-999,13
1999,13-19,2000-2999,18
1999,13-19,3000-3999,21
1999,20-29,1000-1499,8
1999,20-29,1500-1999,19
1999,20-29,200-999,3
1999,20-29,2000-2999,15
1999,20-29,3000-3999,3
1999,30-39,1000-1499,3
1999,30-39,1500-1999,19
1999,30-39,2000-2999,21
1999,30-39,NA,1
1999,5-8,1000-1499,9
1999,5-8,1500-1999,12
1999,5-8,200-999,13
1999,5-8,2000-2999,6
1999,NA,1000-1499,13
1999,NA,200-999,26
2000,13-19,1000-1499,5
2000,13-19,1500-1999,6
2000,13-19,2000-2999,10
2000,20-29,1000-1499,5
2000,20-29,1500-1999,26
2000,20-29,200-999,4
2000,20-29,2000-2999,41
2000,20-29,3000-3999,3
2000,30-39,1000-1499,4
2000,30-39,1500-1999,24
2000,30-39,2000-2999,43
2000,30-39,3000-3999,3
2000,5-8,1000-1499,5
2000,5-8,1500-1999,2
2000,5-8,200-999,26
2000,5-8,2000-2999,1
2000,9-12,1000-1499,1
2000,9-12,2000-2999,4
2000,NA,1000-1499,15
2000,NA,200-999,36
2001,13-19,1000-1499,18
2001,13-19,1500-1999,6
2001,13-19,200-999,6
2001,13-19,2000-2999,17
2001,13-19,3000-3999,3
2001,20-29,1000-1499,35
2001,20-29,1500-1999,208
2001,20-29,200-999,4
2001,20-29,2000-2999,170
2001,20-29,3000-3999,4
2001,30-39,1000-1499,6
2001,30-39,1500-1999,65
2001,30-39,2000-2999,108
2001,5-8,1000-1499,4
2001,5-8,200-999,26
2001,9-12,1000-1499,1
2001,9-12,200-999,7
2001,9-12,2000-2999,1
2001,NA,1000-1499,7
2001,NA,200-999,7
2001,NA,NA,3
2002,13-19,1000-1499,7
2002,13-19,1500-1999,5
2002,13-19,200-999,4
2002,13-19,2000-2999,59
2002,13-19,3000-3999,1
2002,20-29,1000-1499,19
2002,20-29,1500-1999,232
2002,20-29,200-999,4
2002,20-29,2000-2999,206
