"yy","cond_code","variable","val"
2000,"A0","jp",0
2000,"A0","circ",0
2000,"A0","j",0
2000,"A0","soth",0
2000,"A1","jp",0
2000,"A1","circ",0
2000,"A1","j",0
2000,"A1","soth",0
2000,"A2","jp",0
2000,"A2","circ",0
2000,"A2","j",0
2000,"A2","soth",0
2000,"A3","jp",0
2000,"A3","circ",0
2000,"A3","j",0
2000,"A3","soth",0
2000,"D","jp",0
2000,"D","circ",0
2000,"D","j",0
2000,"D","soth",0
2000,"NULL","jp",0
2000,"NULL","circ",0
2000,"NULL","j",0
2000,"NULL","soth",0
2000,"U","jp",0
2000,"U","circ",0
2000,"U","j",0
2000,"U","soth",0
2001,"A0","jp",0
2001,"A0","circ",0
2001,"A0","j",0
2001,"A0","soth",0
2001,"A1","jp",0
2001,"A1","circ",0
2001,"A1","j",0
2001,"A1","soth",0
2001,"A2","jp",0
2001,"A2","circ",0
2001,"A2","j",0
2001,"A2","soth",0
2001,"A3","jp",0
2001,"A3","circ",0
2001,"A3","j",0
2001,"A3","soth",0
2001,"D","jp",0
2001,"D","circ",0
2001,"D","j",0
2001,"D","soth",0
2001,"NULL","jp",0
2001,"NULL","circ",0
2001,"NULL","j",0
2001,"NULL","soth",0
2001,"U","jp",0
2001,"U","circ",0
2001,"U","j",0
2001,"U","soth",0
2002,"A0","jp",0
2002,"A0","circ",0
2002,"A0","j",0
2002,"A0","soth",0
2002,"A1","jp",0
2002,"A1","circ",0
2002,"A1","j",0
2002,"A1","soth",0
2002,"A2","jp",0
2002,"A2","circ",0
2002,"A2","j",0
2002,"A2","soth",0
2002,"A3","jp",0
2002,"A3","circ",0
2002,"A3","j",0
2002,"A3","soth",0
2002,"D","jp",0
2002,"D","circ",0
2002,"D","j",0
2002,"D","soth",0
2002,"NULL","jp",0
2002,"NULL","circ",0
2002,"NULL","j",0
2002,"NULL","soth",0
2002,"U","jp",0
2002,"U","circ",0
2002,"U","j",0
2002,"U","soth",0
2003,"A0","jp",0
2003,"A0","circ",0
2003,"A0","j",0
2003,"A0","soth",0
2003,"A1","jp",0
2003,"A1","circ",0
2003,"A1","j",0
2003,"A1","soth",0
2003,"A2","jp",0
2003,"A2","circ",0
2003,"A2","j",0
2003,"A2","soth",0
2003,"A3","jp",0
2003,"A3","circ",0
2003,"A3","j",0
2003,"A3","soth",0
2003,"D","jp",0
2003,"D","circ",0
2003,"D","j",0
2003,"D","soth",0
2003,"NULL","jp",0
2003,"NULL","circ",0
2003,"NULL","j",0
2003,"NULL","soth",0
2003,"U","jp",0
2003,"U","circ",0
2003,"U","j",0
2003,"U","soth",0
2004,"A0","jp",0
2004,"A0","circ",0
2004,"A0","j",0
2004,"A0","soth",0
2004,"A1","jp",0
2004,"A1","circ",0
2004,"A1","j",0
2004,"A1","soth",0
2004,"A2","jp",0
2004,"A2","circ",0
2004,"A2","j",0
2004,"A2","soth",0
2004,"A3","jp",0
2004,"A3","circ",0
2004,"A3","j",0
2004,"A3","soth",0
2004,"D","jp",0
2004,"D","circ",0
2004,"D","j",0
2004,"D","soth",0
2004,"U","jp",0
2004,"U","circ",0
2004,"U","j",0
2004,"U","soth",0
2005,"A0","jp",0
2005,"A0","circ",0
2005,"A0","j",0
2005,"A0","soth",0
2005,"A1","jp",0
2005,"A1","circ",0
2005,"A1","j",0
2005,"A1","soth",0
2005,"A2","jp",0
2005,"A2","circ",0
2005,"A2","j",0
2005,"A2","soth",0
2005,"A3","jp",0
2005,"A3","circ",0
2005,"A3","j",0
2005,"A3","soth",0
2005,"D","jp",0
2005,"D","circ",0
2005,"D","j",0
2005,"D","soth",0
2005,"U","jp",0
2005,"U","circ",0
2005,"U","j",0
2005,"U","soth",0
2006,"A0","jp",0
2006,"A0","circ",0
2006,"A0","j",0
2006,"A0","soth",0
2006,"A1","jp",0
2006,"A1","circ",0
2006,"A1","j",0
2006,"A1","soth",0
2006,"A2","jp",0
2006,"A2","circ",0
2006,"A2","j",0
2006,"A2","soth",0
2006,"A3","jp",0
2006,"A3","circ",0
2006,"A3","j",0
2006,"A3","soth",0
2006,"D","jp",0
2006,"D","circ",0
2006,"D","j",0
2006,"D","soth",0
2006,"U","jp",0
2006,"U","circ",0
2006,"U","j",0
2006,"U","soth",0
2007,"A0","jp",0
2007,"A0","circ",0
2007,"A0","j",0
2007,"A0","soth",0
2007,"A1","jp",0
2007,"A1","circ",0
2007,"A1","j",0
2007,"A1","soth",0
2007,"A2","jp",0
2007,"A2","circ",0
2007,"A2","j",0
2007,"A2","soth",0
2007,"A3","jp",0
2007,"A3","circ",0
2007,"A3","j",0
2007,"A3","soth",0
2007,"D","jp",0
2007,"D","circ",0
2007,"D","j",0
2007,"D","soth",0
2007,"U","jp",0
2007,"U","circ",0
2007,"U","j",0
2007,"U","soth",0
2008,"A0","jp",0
2008,"A0","circ",0
2008,"A0","j",0
2008,"A0","soth",0
2008,"A1","jp",90
2008,"A1","circ",66
2008,"A1","j",100
2008,"A1","soth",20
2008,"A2","jp",100
2008,"A2","circ",100
2008,"A2","j",0
2008,"A2","soth",0
2008,"A3","jp",0
2008,"A3","circ",100
2008,"A3","j",0
2008,"A3","soth",0
2008,"D","jp",88
2008,"D","circ",59
2008,"D","j",0
2008,"D","soth",0
2008,"U","jp",100
2008,"U","circ",0
2008,"U","j",0
2008,"U","soth",0
2009,"A0","jp",80
2009,"A0","circ",20
2009,"A0","j",0
2009,"A0","soth",0
2009,"A1","jp",80
2009,"A1","circ",70
2009,"A1","j",8
2009,"A1","soth",23
2009,"A2","jp",70
2009,"A2","circ",34
2009,"A2","j",5
2009,"A2","soth",45
2009,"A3","jp",83
2009,"A3","circ",44
2009,"A3","j",40
2009,"A3","soth",30
2009,"D","jp",89
2009,"D","circ",64
2009,"D","j",19
2009,"D","soth",28
2009,"U","jp",82
2009,"U","circ",45
2009,"U","j",0
2009,"U","soth",10
2010,"A0","jp",0
2010,"A0","circ",0
2010,"A0","j",0
2010,"A0","soth",0
2010,"A1","jp",70
2010,"A1","circ",87
2010,"A1","j",47
2010,"A1","soth",92
2010,"A2","jp",72
2010,"A2","circ",95
2010,"A2","j",0
2010,"A2","soth",0
2010,"A3","jp",92
2010,"A3","circ",76
2010,"A3","j",78
2010,"A3","soth",10
2010,"D","jp",79
2010,"D","circ",83
2010,"D","j",54
2010,"D","soth",100
2010,"U","jp",100
2010,"U","circ",100
2010,"U","j",0
2010,"U","soth",0
2011,"A0","jp",100
2011,"A0","circ",0
2011,"A0","j",0
2011,"A0","soth",0
2011,"A1","jp",81
2011,"A1","circ",73
2011,"A1","j",59
