"yy","light_bins","val"
1990,0,31
1991,0,111
1992,0,144
1993,0,177
1994,0,148
1994,500,42
1995,0,216
1995,500,49
1996,0,284
1996,500,56
1997,0,302
1997,500,64
1998,0,226
1998,500,52
1999,0,198
1999,500,26
2000,0,229
2000,500,35
2001,0,690
2001,500,5
2001,NA,11
2002,0,795
2002,NA,122
2003,0,997
2003,NA,155
2004,0,1048
2004,500,4
2004,NA,158
2005,0,984
2005,500,242
2005,NA,108
2006,0,1350
2006,500,100
2006,NA,131
2007,0,696
2007,500,151
2007,NA,112
2008,0,1136
2008,500,255
2008,NA,212
2009,0,803
2009,500,238
2009,1000,1
2009,NA,152
2010,0,484
2010,500,101
2010,NA,189
2011,0,1175
2011,500,200
2011,NA,348
2012,0,946
2012,500,156
2012,NA,549
2013,0,1296
2013,500,128
2013,1000,5
2013,NA,626
2014,0,1576
2014,500,169
2014,1000,2
2014,NA,603
2015,0,511
2015,500,56
2015,1000,81
2015,2000,4
2015,NA,1520
2016,0,1853
2016,500,209
2016,1000,9
2016,NA,873
2017,0,1771
2017,500,268
2017,1000,35
2017,NA,854
2018,0,598
2018,500,238
2018,1000,99
2018,1500,3
2018,2000,1
2018,2500,7
2018,3000,5
2018,4000,3
2018,4500,9
2018,5000,21
2018,NA,2363
2019,0,853
2019,500,458
2019,1000,132
2019,1500,45
2019,2000,11
2019,2500,14
2019,3000,7
2019,3500,5
2019,4000,2
2019,4500,10
2019,5000,2
2019,NA,2761
2020,0,695
2020,500,188
2020,1000,82
2020,1500,19
2020,2000,19
2020,2500,24
2020,3000,7
2020,3500,44
2020,4000,14
2020,NA,1509
2021,0,654
2021,500,270
2021,1000,164
2021,1500,9
2021,2000,5
2021,2500,16
2021,3000,30
2021,3500,38
2021,4000,6
2021,4500,2
2021,5000,5
2021,NA,1250
