[[1]]
       Yr Bio_smry
5821 1975 34309.60
5825 1976 15348.00
5829 1977 17044.00
5833 1978 17968.20
5837 1979 19142.90
5841 1980 18211.70
5845 1981 14918.50
5849 1982 12171.30
5853 1983 15704.20
5857 1984 18665.00
5861 1985 18785.60
5865 1986 18399.30
5869 1987 17712.60
5873 1988 19462.50
5877 1989 16319.60
5881 1990 15365.20
5885 1991 17529.50
5889 1992 16175.40
5893 1993 17045.80
5897 1994 12244.60
5901 1995 11501.60
5905 1996  9529.16
5909 1997  8568.32
5913 1998  9395.27
5917 1999  8184.81
5921 2000  6748.20
5925 2001  8088.39
5929 2002  7749.32
5933 2003  9676.80
5937 2004  9846.96
5941 2005  8037.26
5945 2006  8155.22
5949 2007  6490.43
5953 2008  6447.36
5957 2009  6149.35
5961 2010  5349.91
5965 2011  6472.58
5969 2012  6975.62
5973 2013  5675.09
5977 2014  7142.06
5981 2015  6475.60
5985 2016  5943.56
5989 2017  5506.29
5993 2018  5315.74
5997 2019  6830.79
6001 2020  7339.35

[[2]]
   Year     SSB
1  1977 5096.18
2  1978 5118.48
3  1979 4020.99
4  1980 4427.31
5  1981 3527.37
6  1982 2567.00
7  1983 3284.31
8  1984 4431.92
9  1985 3981.28
10 1986 2949.27
11 1987 3351.70
12 1988 2900.26
13 1989 2947.73
14 1990 2980.96
15 1991 3185.98
16 1992 3735.32
17 1993 3024.91
18 1994 2668.82
19 1995 1794.57
20 1996 1262.50
21 1997 1247.28
22 1998 1083.89
23 1999 1112.08
24 2000 1196.64
25 2001 1202.66
26 2002 1494.86
27 2003 1515.92
28 2004 2055.84
29 2005 2026.57
30 2006 1573.42
31 2007 1617.80
32 2008 1243.36
33 2009 1277.09
34 2010 1256.44
35 2011 1080.71
36 2012 1261.46
37 2013 1150.18
38 2014 1141.96
39 2015 1292.57
40 2016 1304.82
41 2017 1238.22
42 2018 1223.47
43 2019 1157.84
44 2020 1696.41

[[3]]
Ave 3-year SSB 
       1359.24 

[[4]]
20% SSBF=0 
  3720.852 

[[5]]
    SSB20Per Year
1  1.3696270 1977
2  1.3756203 1978
3  1.0806637 1979
4  1.1898645 1980
5  0.9480005 1981
6  0.6898957 1982
7  0.8826768 1983
8  1.1911034 1984
9  1.0699914 1985
10 0.7926329 1986
11 0.9007882 1987
12 0.7794612 1988
13 0.7922190 1989
14 0.8011498 1990
