,Year,Value,Value.1,Value.2,Value.3,Value.4,Value.5,Value.6,Value.7,Value.8,Value.9,Value.10,Value.11,Value.12,Value.13,Value.14,Value.15,Value.16,Value.17,Value.18,Value.19,Value.20,Value.21,Value.22,Value.23,Value.24,Value.25,Value.26,Value.27,Value.28,Value.29,Value.30,Value.31,Value.32,Value.33,Value.34,Value.35,Value.36,Value.37,Value.38,Value.39,Value.40,Value.41,Value.42,Value.43,Value.44,Value.45,Value.46,Value.47,Value.48,Value.49,Value.50,Value.51,Value.52,Value.53,Value.54,Value.55,Value.56,Value.57,Value.58,Value.59,Value.60,Value.61,Value.62,Value.63,Value.64,Value.65,Value.66,Value.67,Value.68,Value.69,Value.70,Value.71,Value.72,Value.73,Value.74,Value.75,Value.76,Value.77,Value.78,Value.79,Value.80,Value.81,Value.82,Value.83,Value.84,Value.85,Value.86,Value.87,Value.88,Value.89,Value.90,Value.91,Value.92,Value.93,Value.94,Value.95,Value.96,Value.97,Value.98,Value.99,Mean,StandDev
1,2021,3252.55,3070.32,3649.17,2713.58,2726.98,3399.83,3687.78,3005.19,4377.84,3608.46,3423.92,3824.49,3269.63,3972.14,3148.03,2976.23,3085.02,2796.95,2767.51,3954.99,3114.17,4811.4,2834.73,3413.78,3210.12,3193.99,3253.43,2716.89,3342.25,3225.21,2698.5,3577.31,4433.57,3330.79,3056.72,2882.48,3640.47,4029.5,4026.29,2980.54,2792.37,4022.21,3425.46,2963.89,3269.11,3366.78,3164.36,3895.52,3129.77,3447.5,3335.02,3219.74,3165.21,3886.02,2656.52,3064.15,2397.96,3144.98,3380.86,2465.17,2636.87,3453.57,3917.84,3355.31,2953.15,3075.53,3271.92,3269.19,3108.72,2893.49,3603.7,3390.05,3702.88,3299.87,3297.26,3106.29,3681.3,4193.22,3620.69,3569.18,3145.36,2770.64,3558.12,2640.53,3278.35,2918.26,4391.92,3531.98,2999.12,3333.12,4035.79,2888.99,3541.4,3095.5,2287.06,2666.97,3203.18,3524.74,3711.3,5144.3,3327.4201,500.8037046
2,2022,3921.8,3394.81,3747.59,3336.18,3140.66,4158.15,4059.61,3352.99,4849.38,3960.14,4010.11,4206.82,3324.34,5004.04,3901.15,3981.44,4014.83,3362.75,3350.89,4430.26,4127.47,4343.74,3360.5,4011.32,3577.16,3718.59,4396.13,2993.68,4193.05,4074.96,3260.14,4199.39,5244.83,4157.71,3571.14,3337.83,3944.85,5287.15,4398.11,3590.44,3311.61,4874.08,4000.1,3526.51,4094.33,3693.13,3863.46,4530.03,3904.73,4375.43,4102.9,4334.89,4008.36,4983.29,3096.07,3532.49,2929.47,3740.32,3994.6,2857.32,3248.26,3996.39,4929.8,4088.77,3534.52,3927.75,3988.84,4074.85,3420.01,3546,4035.24,4050.6,4309.41,3564.44,3830.86,3694.39,3686.54,4770.84,4286.67,4905.31,3421.06,3279.01,3912.66,2863.66,4200.75,3312.55,4820.52,4207.66,3239.89,3737.62,4844.78,3809.29,4073.73,3438.62,3051.93,3029.87,3594.79,3776.82,4341.01,5414.72,3913.0968,563.9785632
3,2023,4335.39,3768.94,3953.88,3961.82,3682.74,4539.62,4273.51,3740.14,4952.89,4241.85,4315.46,4356.06,3582.64,5232.57,4296.8,4612.59,4604.81,3804.35,3819.26,4605.7,4679.84,4250.4,3793.6,4331.07,3996.76,4070.57,4901.29,3398,4655.07,4576.78,3758.28,4608.6,5387.82,4539.34,4032.81,3766.82,4265.67,5729.85,4504.94,4011.11,3793.83,5111.71,4452.08,4035.21,4631.65,3979.07,4298.27,4892.44,4317.57,4789.55,4632.16,4790.57,4425.21,5285.92,3554.44,3978.97,3387.97,4133.7,4364.84,3270.38,3679.11,4347.02,5306.94,4478.32,3947.8,4433.99,4398.3,4446.45,3883.76,4003.78,4317.18,4467.93,4655.07,3873.8,4120.9,4075.83,3913.59,4939.18,4645.41,5259.72,3765.59,3732.24,4210.12,3272.81,4559.07,3753.59,4918.57,4541.65,3589.41,4073.57,5050.64,4395.69,4429.4,3817.4,3650.17,3484.4,3978.46,4075.68,4578.58,5132.65,4282.6895,506.3968592
4,2024,4591.44,4090.46,4124.19,4476.09,4188.09,4725.99,4374.09,4044.63,4902.07,4445.53,4436.2,4411.05,3840.7,5072.43,4439.33,4956.6,4901.62,4089.26,4132.51,4605.7,4864.34,4239.08,4089.61,4489.77,4347.36,4283.03,4956.51,3778.15,4835.18,4790.56,4126.43,4859.01,5252.1,4641.26,4449.1,4116.46,4631.02,5629.44,4538.75,4278.32,4172.01,5026.9,4788.58,4413.17,4890.52,4231.71,4488.21,5087.64,4456.53,4868.19,4927.8,4808.63,4571.12,5150.59,3938.64,4333.23,3712.98,4358.86,4560.5,3605.65,3960.43,4564.05,5293.97,4610.74,4201.4,4694.02,4591.86,4563.18,4383.41,4265.42,4480.82,4649.92,4750.52,4151.33,4266.92,4279.38,4188.32,4855.28,4850.62,5099.41,4059,4069.86,4408.8,3691.02,4592.99,4130.84,4821.47,4665.05,3888.64,4317.72,4886.7,4705.54,4629.46,4127.91,4025.05,3844.03,4251.5,4321.14,4570.02,4740.75,4478.8341,385.4253216
5,2025,4764.62,4307.19,4228.93,4844.29,4550.5,4854.46,4437.99,4247.51,4867.82,4578.93,4513.9,4446.63,4006.53,4965.65,4536.38,5193.31,5097.13,4284.2,4347.31,4601.15,4980.61,4220.89,4290.73,4594.61,4585.9,4425.39,4976.27,4039.62,4944.06,4926.68,4382.29,5022.18,5163.56,4707.32,4743.12,4356.89,4890.02,5518.17,4562.49,4460.04,4434.83,4962.07,5016.74,4672.93,5052.34,4402.08,4607.65,5211.93,4545.44,4904.91,5123.01,4809.94,4671.31,5047.35,4206.22,4575.81,3941.6,4507.54,4690.81,3837.46,4157.28,4707.86,5264.16,4693.53,4373.13,4869.02,4720.77,4635.75,4743.97,4442.9,4586.55,4765.25,4799.43,4335.76,4364.83,4415.2,4370.46,4793.48,4987.92,4981.44,4253.56,4302.19,4537.43,3981.17,4616.12,4390.94,4756.97,4747,4086.53,4479.92,4761.83,4916.61,4757.08,4336.51,4292.5,4089.55,4430.6,4481.83,4555.93,4515.25,4609.8545,323.4989382
6,2026,4878.62,4448.64,4294.31,5094.27,4794.79,4942.02,4481.35,4380.28,4853.73,4664.11,4568.34,4471.28,4111.14,4918.62,4607.53,5355.44,5231.26,4415.96,4492.24,4604.25,5065.88,4202.92,4424.99,4665.08,4741.2,4520.35,5002.62,4212.89,5019.76,5021.38,4554.08,5128.19,5122.88,4758.74,4934.96,4515,5052.09,5465.25,4579.12,4581.08,4610.33,4933.93,5164.84,4845.88,5161.7,4510.35,4690.38,5293.01,4610.77,4938.05,5254.23,4827.49,4744.71,5001.26,4385.57,4735.46,4097.78,4606.64,4778.71,3992.94,4290.32,4801.86,5258.61,4753.86,4488.49,4988.51,4809.78,4689.16,4980.14,4563.97,4655.93,4845.84,4837.24,4453.29,4431.35,4507.52,4483.2,4765.39,5077.85,4928.64,4379.58,4457.07,4620.98,4173.51,4642.89,4562.88,4726.96,4805.48,4215.06,4585.51,4700.56,5061.32,4840.89,4472.63,4478.87,4254.63,4547.93,4584.11,4555.18,4395.09,4700.3275,303.0388475
7,2027,4950.68,4540.94,4336.37,5257.95,4955.77,4997.39,4509.11,4466.37,4845.93,4718.13,4603.06,4486.78,4179.17,4892.15,4653.23,5458.34,5316.52,4501.54,4586.37,4606.84,5120,4189.96,4511.78,4709.61,4841.02,4581.42,5020.22,4327.47,5067.56,5081.34,4665.64,5194.71,5099.58,4791.68,5058.64,4617.46,5154.55,5436.65,4589.41,4658.57,4724.63,4918.19,5259.02,4957.67,5231.36,4579.71,4743.08,5343.78,4652.57,4959.97,5337.52,4840.07,4791.36,4975.52,4503.91,4838.69,4200.53,4669.74,4834.71,4095.33,4376.49,4861.3,5257.06,4792.17,4562.87,5064.37,4866.5,4723.1,5133.72,4642.15,4700.02,4897.47,4861.85,4529.05,4473.97,4566.88,4555.33,4749.53,5134.23,4899.16,4461.58,4557.57,4674.52,4301.19,4660.49,4675.27,4709.72,4842.7,4298.82,4653.51,4666.1,5153.17,4893.86,4560.95,4600.16,4363.35,4623.49,4649.46,4555.79,4323.64,4759.0983,298.1214216
8,2028,4995.57,4600.23,4363.27,5361.93,5058.71,5031.92,4526.54,4521.21,4840.91,4752.08,4624.67,4496.33,4222.93,4875.42,4681.81,5522.14,5369.22,4556.1,4646.22,4608.24,5153.12,4181.23,4566.79,4737.31,4903.98,4620.11,5030.36,4401.54,5096.72,5118.22,4736.41,5235.77,5084.88,4811.91,5136.94,4682.61,5218.9,5418.84,4595.68,4707.35,4797.44,4908.08,5317.97,5028.31,5274.42,4623.82,4775.67,5375.03,4678.41,4973.06,5389.21,4847.21,4820.28,4959.18,4580.3,4904.17,4266.66,4709.19,4869.79,4161.33,4431.36,4898.4,5255.52,4815.7,4609.97,5111.49,4901.91,4743.85,5231.27,4691.6,4727.65,4929.63,4876.83,4577.36,4500.83,4604.36,4601.13,4739.44,5169.18,4880.47,4514.19,4621.45,4708.42,4383.73,4671.05,4747.26,4698.77,4865.85,4352.5,4696.79,4644.6,5210.11,4926.74,4617.33,4676.95,4433.22,4671.29,4690.75,4555.92,4278.39,4796.1691,298.2713286
9,2029,5023.38,4637.81,4380.36,5426.68,5123.04,5053.47,4537.5,4555.73,4837.79,4773.25,4638.16,4502.25,4250.74,4865.07,4699.81,5561.55,5401.72,4590.62,4683.9,4609.09,5173.59,4175.4,4601.3,4754.54,4943.11,4644.5,5036.5,4448.58,5114.58,5140.99,4780.7,5260.98,5075.79,4824.52,5185.65,4723.47,5258.58,5407.94,4599.56,4737.85,4843.16,4901.77,5354.46,5072.37,5300.95,4651.56,4795.85,5394.22,4694.51,4981.05,5421.16,4851.58,4838.35,4949.08,4628.88,4945.14,4308.71,4733.75,4891.75,4203.27,4466.02,4921.45,5254.49,4830.29,4639.62,5140.7,4924.04,4756.68,5291.75,4722.73,4744.92,4949.7,4886.06,4607.79,4517.76,4627.97,4629.75,4733.12,5190.79,4868.84,4547.54,4661.55,4729.77,4435.98,4677.64,4792.66,4691.89,4880.33,4386.46,4724.14,4631.25,5245.32,4947.07,4652.87,4725.09,4477.47,4701.23,4716.56,4555.97,4249.26,4819.3614,299.6439563
10,2030,5040.53,4661.49,4391.2,5466.54,5162.76,5066.88,4544.39,4577.34,4835.86,4786.41,4646.6,4505.93,4268.32,4858.73,4711.13,5585.75,5421.69,4612.34,4707.47,4609.62,5186.24,4171.54,4622.83,4765.24,4967.24,4659.83,5040.31,4478.2,5125.53,5155.03,4808.19,5276.39,5070.19,4832.38,5215.67,4748.89,5282.82,5401.4,4601.96,4756.82,4871.64,4897.88,5376.89,5099.64,5317.26,4668.92,4808.34,5405.99,4704.56,4985.99,5440.82,4854.31,4849.64,4942.92,4659.53,4970.59,4335.25,4748.98,4905.45,4229.72,4487.77,4935.71,5253.89,4839.35,4658.19,5158.74,4937.84,4764.62,5328.77,4742.23,4755.7,4962.22,4891.78,4626.85,4528.41,4642.8,4647.52,4729.19,5204.11,4861.7,4568.58,4686.54,4743.16,4468.71,4681.77,4821.07,4687.59,4889.4,4407.81,4741.36,4623.02,5266.96,4959.61,4675.13,4755,4505.28,4719.89,4732.61,4556.01,4230.39,4833.7928,300.9529158
