,LowCatch_Mean,SRCatch_Mean,LowF_Mean,SRF_Mean,LowCatch_SD,SRCatch_SD,LowF_SD,SRF_SD,Year
1,2297.795385,2282.130407,2057.6112,3327.4201,8.128944634,146.9760647,592.4838454,500.8037046,2021
2,2272.238508,2276.991163,2008.8293,3913.0968,204.294001,154.2935232,82.19682997,563.9785632,2022
3,2297.399077,2299.596977,1984.2149,4282.6895,7.747448113,2.56824182,51.848943,506.3968592,2023
4,2271.822154,2299.853256,2001.9708,4478.8341,206.4301916,0.52729597,58.77936898,385.4253216,2024
5,2296.396923,2282.261651,1972.7476,4609.8545,11.81588588,163.4160762,168.408218,323.4989382,2025
6,2296.861385,2299.507791,1992.5488,4700.3275,10.10158649,3.275550928,71.40428648,303.0388475,2026
7,2268.727385,2280.351105,1978.352313,4759.0983,235.1950059,180.725701,146.1746147,298.1214216,2027
8,2297.716769,2299.80907,1359.4336,4796.1691,6.603234082,1.101004491,6317.233002,298.2713286,2028
9,2273.228231,2280.413023,1993.2744,4819.3614,173.5060165,130.7218791,79.53716056,299.6439563,2029
10,2297.592,2277.930337,1995.7319,4833.7928,6.63514299,204.6536386,80.40715141,300.9529158,2030
11,2297.219692,2299.791163,2013.2869,4842.7314,8.783355169,1.383076212,72.85373749,301.9079365,2031
12,2290.568308,2299.877442,1834.9515,4848.2529,58.83866449,0.732655422,1648.977747,302.5359245,2032
13,2275.931185,2299.934419,2008.7289,4851.6583,175.9899875,0.533226813,77.1009618,302.9289683,2033
14,2297.646154,2285.768837,1999.417475,4853.7571,6.694593596,131.8740105,75.92850496,303.1663308,2034
15,2297.778923,2299.954419,2006.5413,4855.0495,6.285431599,0.229437187,57.12590781,303.3081137,2035
16,2297.812615,2299.971628,2001.0974,4855.8449,6.333728729,0.095890384,79.15688864,303.390888,2036
17,2244.884277,2299.867558,1984.29733,4856.3341,298.7242207,0.798937436,112.3181326,303.4389913,2037
18,2289.539231,2299.824651,2008.1423,4856.6356,66.21701559,0.977513891,57.33933124,303.4671328,2038
19,2296.215077,2296.583605,2000.7082,4856.821,13.97231628,31.00994633,55.54574248,303.4833749,2039
20,2285.001692,2299.951047,1998.6081,4856.9356,102.432635,0.275198448,79.07214027,303.4926359,2040
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,2057.6112,592.4838454,,,,,
,,,2008.8293,82.19682997,,,,,
,,,1984.2149,51.848943,,,,,
,,,2001.9708,58.77936898,,,,,
,,,1972.7476,168.408218,,,,,
,,,1992.5488,71.40428648,,,,,
,,,1978.352313,146.1746147,,,,,
,,,1359.4336,6317.233002,,,,,
,,,1993.2744,79.53716056,,,,,
,,,1995.7319,80.40715141,,,,,
,,,2013.2869,72.85373749,,,,,
,,,1834.9515,1648.977747,,,,,
,,,2008.7289,77.1009618,,,,,
,,,1999.417475,75.92850496,,,,,
,,,2006.5413,57.12590781,,,,,
,,,2001.0974,79.15688864,,,,,
,,,1984.29733,112.3181326,,,,,
,,,2008.1423,57.33933124,,,,,
,,,2000.7082,55.54574248,,,,,
,,,1998.6081,79.07214027,,,,,
