,LowCatch_Mean,SRCatch_Mean,LowF_Mean,SRF_Mean,LowCatch_SD,SRCatch_SD,LowF_SD,SRF_SD,Year
1,5287.928769,5304.478721,5298.7485,5302.3992,1656.318769,1753.10699,1680.20743,1674.952133,1977
2,4901.05,4971.063488,4927.9655,4932.0448,1423.982517,1539.440658,1499.382906,1488.166933,1978
3,3890.436462,3951.676279,3861.5805,3864.2607,1288.806302,1251.733067,1233.307175,1234.167021,1979
4,4028.740308,4051.363023,3965.1579,3971.4486,1147.00122,1095.670341,1064.097827,1057.439776,1980
5,3386.669231,3389.846977,3316.0828,3320.5214,993.8245646,902.9563194,914.5198,907.145354,1981
6,2459.185492,2511.699849,2482.53987,2487.83913,879.44283,857.8329837,844.2515512,845.5714009,1982
7,3239.988769,3293.714767,3264.7214,3271.7072,986.6806817,966.6427377,963.8874914,956.2633243,1983
8,4126.125231,4218.523488,4136.3792,4138.9166,1095.215316,1096.098031,1104.887597,1093.034192,1984
9,3740.500308,3870.706628,3840.9746,3840.8905,1031.310648,1102.637291,1092.380041,1079.836936,1985
10,3024.795385,3085.504302,3059.7144,3062.7299,846.9578432,830.1954627,872.7819032,862.6671263,1986
11,3249.337077,3337.866512,3264.8106,3268.6232,882.5001996,872.158731,914.8970534,916.9215818,1987
12,2760.045231,2869.664419,2807.5956,2812.3833,885.9098331,904.9835926,908.7291365,910.0971993,1988
13,2874.391692,2904.666395,2845.3934,2849.7698,803.4818949,838.2932209,827.7022311,826.761612,1989
14,2887.904308,2953.100465,2930.8778,2934.4828,902.2945436,947.8061248,925.2722443,920.7194217,1990
15,2999.814615,3050.067791,3037.4096,3037.5819,955.4558939,928.3662829,954.673388,950.9043411,1991
16,3371.559385,3403.917791,3384.2798,3385.7802,833.9145774,792.5841118,804.4430671,802.458622,1992
17,2984.055231,3005.037791,2970.6427,2964.8819,646.9357095,619.1166477,614.5074519,616.5537949,1993
18,2516.851385,2552.294884,2537.6503,2530.0627,493.1955005,466.4250699,442.446444,444.708378,1994
19,1771.964923,1787.665698,1784.3574,1778.5588,451.8386804,399.8969259,383.1543932,385.2915335,1995
20,1219.186631,1238.021151,1231.85448,1227.99781,349.3321293,305.9608813,295.4401269,296.779815,1996
21,1232.644031,1257.380826,1244.7043,1241.18783,365.1459955,322.9273124,310.1829719,311.6000601,1997
22,1088.243323,1102.888,1102.5246,1099.35935,343.1335517,300.2790539,285.4929801,285.8558603,1998
23,1130.501415,1131.641663,1129.62388,1126.61411,301.345126,270.3332816,256.3162539,257.4889989,1999
